,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...
2071296D UN Equity,NYSE EURONEXT,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2073714D UN Equity,ENBRIDGE EOG HOLDINGS II COR,US,USD,Utilities,Utilities,Gas Utilities,Gas Utilities,#N/A N/A
2078185D UN Equity,TIFFANY & CO,US,USD,Consumer Discretionary,Consumer Discretionary Distrib,Specialty Retail,Other Specialty Retail,#N/A N/A
2207158D UQ Equity,MEDIMMUNE LLC,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2207158D UW Equity,MEDIMMUNE LLC,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2213185D UN Equity,MARSHALL & ILSLEY CORP,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2217347D UQ Equity,MERCURY INTERACTIVE LLC,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2258717D UN Equity,EMC CORP/MA,US,USD,Information Technology,Technology Hardware & Equipmen,"Technology Hardware, Storage &","Technology Hardware, Storage &",#N/A N/A
2307532Q UQ Equity,SCHNEIDER ELECTRIC IT CORP,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2307532Q UW Equity,SCHNEIDER ELECTRIC IT CORP,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2326248D UN Equity,CA INC,US,USD,Information Technology,Software & Services,Software,Systems Software,#N/A N/A
2326248D UW Equity,CA INC,US,USD,Information Technology,Software & Services,Software,Systems Software,#N/A N/A
2370058D UN Equity,SUNTRUST BANKS INC,US,USD,Financials,Banks,Banks,Regional Banks,#N/A N/A
2462936D LN Equity,FERGUSON PLC,GB,GBp,Industrials,Capital Goods,Trading Companies & Distributo,Trading Companies & Distributo,#N/A N/A
